AENJPLPP_00005	K02483
AENJPLPP_01501	K02919
AENJPLPP_01502	K02952
AENJPLPP_01503	K02948
AENJPLPP_01504	K03040
AENJPLPP_01505	K02879
AENJPLPP_01506	K16786
AENJPLPP_01507	K16787
AENJPLPP_01508	K16785
AENJPLPP_01509	K06173
AENJPLPP_01511	K03719
AENJPLPP_01513	K07493
AENJPLPP_01516	K07132
AENJPLPP_01519	K02902
AENJPLPP_01521	K07030
AENJPLPP_01522	K03655
AENJPLPP_01523	K03621
AENJPLPP_01524	K02078
AENJPLPP_01526	K02031
AENJPLPP_01527	K02032
AENJPLPP_01528	K02033
AENJPLPP_01528	K02034
AENJPLPP_01529	K02034
AENJPLPP_01530	K02035
AENJPLPP_01531	K03685
AENJPLPP_01532	K03529
AENJPLPP_01534	K03110
AENJPLPP_01535	K01919
AENJPLPP_01535	K16786
AENJPLPP_01535	K16787
AENJPLPP_01537	K02015
AENJPLPP_01538	K02015
AENJPLPP_01539	K02013
AENJPLPP_01540	K02016
AENJPLPP_01551	K02440
AENJPLPP_01552	K06518
AENJPLPP_01553	K05339
AENJPLPP_01556	K00059
AENJPLPP_01558	K03523
AENJPLPP_01559	K02986
AENJPLPP_01563	K02029
AENJPLPP_01563	K02030
AENJPLPP_01563	K09769
AENJPLPP_01564	K02028
AENJPLPP_01565	K03555
AENJPLPP_01566	K03572
AENJPLPP_01567	K06287
AENJPLPP_01568	K02817
AENJPLPP_01568	K02818
AENJPLPP_01568	K02819
AENJPLPP_01569	K03486
AENJPLPP_01570	K07305
AENJPLPP_01571	K03550
AENJPLPP_01572	K03551
AENJPLPP_01574	K01104
AENJPLPP_01577	K03311
AENJPLPP_01579	K03293
AENJPLPP_01579	K11737
AENJPLPP_01580	K17076
AENJPLPP_01581	K17073
AENJPLPP_01581	K17074
AENJPLPP_01584	K12410
AENJPLPP_01585	K00661
AENJPLPP_01586	K07105
AENJPLPP_01587	K01462
AENJPLPP_01588	K02956
AENJPLPP_01589	K00962
AENJPLPP_01591	K03549
AENJPLPP_01595	K02897
AENJPLPP_01596	K06183
AENJPLPP_01597	K01560
AENJPLPP_01597	K07025
AENJPLPP_01598	K00876
AENJPLPP_01599	K07483
AENJPLPP_01600	K07497
AENJPLPP_01601	K07497
AENJPLPP_01605	K09768
AENJPLPP_01606	K03688
AENJPLPP_01607	K03688
AENJPLPP_01608	K01921
AENJPLPP_01609	K01929
AENJPLPP_01610	K05592
AENJPLPP_01611	K00997
AENJPLPP_01612	K01775
AENJPLPP_01612	K20707
AENJPLPP_01613	K07171
AENJPLPP_01614	K02954
AENJPLPP_01616	K01421
AENJPLPP_01620	K01227
AENJPLPP_01622	K05846
AENJPLPP_01623	K05845
AENJPLPP_01624	K05846
AENJPLPP_01625	K05847
AENJPLPP_01626	K07568
AENJPLPP_01627	K01537
AENJPLPP_01628	K01537
AENJPLPP_01630	K00773
AENJPLPP_01631	K03210
AENJPLPP_01633	K04072
AENJPLPP_01636	K00848
AENJPLPP_01637	K00848
AENJPLPP_01637	K01813
AENJPLPP_01638	K01629
AENJPLPP_01639	K03534
AENJPLPP_01640	K00048
AENJPLPP_01641	K19333
AENJPLPP_01642	K01625
AENJPLPP_01643	K00874
AENJPLPP_01644	K01815
AENJPLPP_01645	K00046
AENJPLPP_01646	K00046
AENJPLPP_01647	K01823
AENJPLPP_01648	K00938
AENJPLPP_01649	K01597
AENJPLPP_01650	K00869
AENJPLPP_01654	K02520
AENJPLPP_01655	K02916
AENJPLPP_01656	K02887
AENJPLPP_01662	K07107
AENJPLPP_01663	K17758
AENJPLPP_01663	K17759
AENJPLPP_01664	K01270
AENJPLPP_01664	K01274
AENJPLPP_01664	K01439
AENJPLPP_01666	K00135
AENJPLPP_01669	K01261
AENJPLPP_01669	K01269
AENJPLPP_01672	K06878
AENJPLPP_01673	K04771
AENJPLPP_01674	K00783
AENJPLPP_01676	K07483
AENJPLPP_01680	K07407
AENJPLPP_01683	K07493
AENJPLPP_01684	K07493
AENJPLPP_01698	K06400
AENJPLPP_01701	K06400
AENJPLPP_01702	K03427
AENJPLPP_01705	K02795
AENJPLPP_01706	K02796
AENJPLPP_01709	K00847
AENJPLPP_01713	K07494
AENJPLPP_01715	K07862
AENJPLPP_01717	K02538
AENJPLPP_01718	K02821
AENJPLPP_01719	K02822
AENJPLPP_01722	K22441
AENJPLPP_01724	K01759
AENJPLPP_01727	K06901
AENJPLPP_01728	K01215
AENJPLPP_01732	K05910
AENJPLPP_01734	K00864
AENJPLPP_01735	K00105
AENJPLPP_01735	K00111
AENJPLPP_01736	K02440
AENJPLPP_01737	K07456
AENJPLPP_01738	K08744
AENJPLPP_01739	K09004
AENJPLPP_01743	K03657
AENJPLPP_01744	K03657
AENJPLPP_01746	K11936
AENJPLPP_01747	K03646
AENJPLPP_01749	K05881
AENJPLPP_01750	K05878
AENJPLPP_01751	K05879
AENJPLPP_01753	K21562
AENJPLPP_01754	K01992
AENJPLPP_01755	K01990
AENJPLPP_01757	K01990
AENJPLPP_01760	K01866
AENJPLPP_01761	K22330
AENJPLPP_01762	K20265
AENJPLPP_01763	K03315
AENJPLPP_01764	K03315
AENJPLPP_01765	K02529
AENJPLPP_01766	K01785
AENJPLPP_01767	K01838
AENJPLPP_01768	K00691
AENJPLPP_01769	K02777
AENJPLPP_01769	K20107
AENJPLPP_01769	K20108
AENJPLPP_01770	K06896
AENJPLPP_01773	K07284
AENJPLPP_01774	K03826
AENJPLPP_01775	K13727
AENJPLPP_01782	K03186
AENJPLPP_01783	K01612
AENJPLPP_01783	K03182
AENJPLPP_01783	K16874
AENJPLPP_01785	K02003
AENJPLPP_01785	K02004
AENJPLPP_01789	K07150
AENJPLPP_01790	K10947
AENJPLPP_01796	K02003
AENJPLPP_01797	K02004
AENJPLPP_01798	K01785
AENJPLPP_01800	K02755
AENJPLPP_01800	K02756
AENJPLPP_01800	K02757
AENJPLPP_01801	K06726
AENJPLPP_01802	K00852
AENJPLPP_01803	K02529
AENJPLPP_01803	K03604
AENJPLPP_01805	K02003
AENJPLPP_01806	K02004
AENJPLPP_01807	K01226
AENJPLPP_01809	K09815
AENJPLPP_01810	K07707
AENJPLPP_01811	K07706
AENJPLPP_01811	K12294
AENJPLPP_01813	K07813
AENJPLPP_01817	K03657
AENJPLPP_01818	K16509
AENJPLPP_01819	K16509
AENJPLPP_01820	K00432
AENJPLPP_01821	K07173
AENJPLPP_01822	K01760
AENJPLPP_01822	K17217
AENJPLPP_01823	K01738
AENJPLPP_01823	K17216
AENJPLPP_01824	K02356
AENJPLPP_01825	K01586
AENJPLPP_01826	K01778
AENJPLPP_01827	K01714
AENJPLPP_01828	K00215
AENJPLPP_01829	K00674
AENJPLPP_01829	K05822
AENJPLPP_01830	K00133
AENJPLPP_01831	K00928
AENJPLPP_01832	K12940
AENJPLPP_01833	K00832
AENJPLPP_01833	K00841
AENJPLPP_01834	K05910
AENJPLPP_01836	K07497
AENJPLPP_01839	K02346
AENJPLPP_01839	K03502
AENJPLPP_01840	K00849
AENJPLPP_01841	K01785
AENJPLPP_01842	K11104
AENJPLPP_01842	K16209
AENJPLPP_01847	K03293
AENJPLPP_01848	K02074
AENJPLPP_01848	K09820
AENJPLPP_01848	K19973
AENJPLPP_01849	K19976
AENJPLPP_01850	K19975
AENJPLPP_01850	K19976
AENJPLPP_01852	K18979
AENJPLPP_01854	K01610
AENJPLPP_01855	K00285
AENJPLPP_01856	K18926
AENJPLPP_01857	K15770
AENJPLPP_01858	K03402
AENJPLPP_01859	K01840
AENJPLPP_01859	K15778
AENJPLPP_01862	K00383
AENJPLPP_01862	K21739
AENJPLPP_01864	K16137
AENJPLPP_01864	K18939
AENJPLPP_01869	K07171
AENJPLPP_01872	K07217
AENJPLPP_01873	K02027
AENJPLPP_01874	K02025
AENJPLPP_01875	K02026
AENJPLPP_01875	K10242
AENJPLPP_01877	K19302
AENJPLPP_01878	K07114
AENJPLPP_01883	K07284
AENJPLPP_01884	K02483
AENJPLPP_01885	K19081
AENJPLPP_01886	K05340
AENJPLPP_01887	K03294
AENJPLPP_01890	K01515
AENJPLPP_01892	K01243
AENJPLPP_01893	K16788
AENJPLPP_01895	K07386
AENJPLPP_01897	K00948
AENJPLPP_01898	K04487
AENJPLPP_01900	K08217
AENJPLPP_01902	K00566
AENJPLPP_01903	K03758
AENJPLPP_01905	K08161
AENJPLPP_01908	K03169
AENJPLPP_01909	K12999
AENJPLPP_01910	K00567
AENJPLPP_01910	K13531
AENJPLPP_01912	K11041
AENJPLPP_01913	K21900
AENJPLPP_01914	K05837
AENJPLPP_01915	K00537
AENJPLPP_01916	K02437
AENJPLPP_01917	K02071
AENJPLPP_01918	K02069
AENJPLPP_01918	K02072
AENJPLPP_01919	K02072
AENJPLPP_01919	K02073
AENJPLPP_01920	K09013
AENJPLPP_01921	K07033
AENJPLPP_01921	K09015
AENJPLPP_01922	K11717
AENJPLPP_01923	K04488
AENJPLPP_01924	K07033
AENJPLPP_01924	K09014
AENJPLPP_01934	K03427
AENJPLPP_01935	K01154
AENJPLPP_01936	K01153
AENJPLPP_01940	K02003
AENJPLPP_01942	K01802
AENJPLPP_01942	K07533
AENJPLPP_01949	K07707
AENJPLPP_01950	K07706
AENJPLPP_01953	K07284
AENJPLPP_01954	K03488
AENJPLPP_01956	K02755
AENJPLPP_01956	K02756
AENJPLPP_01956	K02757
AENJPLPP_01957	K01223
AENJPLPP_01959	K02770
AENJPLPP_01961	K06966
AENJPLPP_01966	K02529
AENJPLPP_01967	K01223
AENJPLPP_01967	K05350
AENJPLPP_01969	K19005
AENJPLPP_01971	K00940
AENJPLPP_01972	K01531
AENJPLPP_01975	K02071
AENJPLPP_01976	K02072
AENJPLPP_01977	K02073
AENJPLPP_01978	K21613
AENJPLPP_01979	K03315
AENJPLPP_01981	K03293
AENJPLPP_01983	K00077
AENJPLPP_01984	K00865
AENJPLPP_01985	K19350
AENJPLPP_01987	K07106
AENJPLPP_01987	K09963
AENJPLPP_01988	K07106
AENJPLPP_01989	K02808
AENJPLPP_01989	K02809
AENJPLPP_01989	K02810
AENJPLPP_01990	K03647
AENJPLPP_01991	K03758
AENJPLPP_01992	K01992
AENJPLPP_01993	K01990
AENJPLPP_01994	K11741
AENJPLPP_01997	K01304
AENJPLPP_01999	K03811
AENJPLPP_02000	K08234
AENJPLPP_02003	K06977
AENJPLPP_02006	K03648
AENJPLPP_02007	K00625
AENJPLPP_02007	K02028
AENJPLPP_02008	K06925
AENJPLPP_02010	K02342
AENJPLPP_02011	K01142
AENJPLPP_02012	K03810
AENJPLPP_02013	K00075
AENJPLPP_02018	K00239
AENJPLPP_02018	K00244
AENJPLPP_02022	K01598
AENJPLPP_02022	K13038
AENJPLPP_02023	K21977
AENJPLPP_02024	K00001
AENJPLPP_02026	K02010
AENJPLPP_02026	K11072
AENJPLPP_02027	K11071
AENJPLPP_02028	K11070
AENJPLPP_02029	K11069
AENJPLPP_02034	K19509
AENJPLPP_02037	K00847
AENJPLPP_02039	K07467
AENJPLPP_02040	K07467
AENJPLPP_02043	K00549
AENJPLPP_02045	K03713
AENJPLPP_02045	K15580
AENJPLPP_02046	K01915
AENJPLPP_02048	K01937
AENJPLPP_02049	K01624
AENJPLPP_02049	K03339
AENJPLPP_02050	K00790
AENJPLPP_02051	K03628
AENJPLPP_02052	K02909
AENJPLPP_02053	K02768
AENJPLPP_02054	K02769
AENJPLPP_02054	K02770
AENJPLPP_02055	K01624
AENJPLPP_02061	K06872
AENJPLPP_02064	K02343
AENJPLPP_02065	K09747
AENJPLPP_02066	K06187
AENJPLPP_02067	K00943
AENJPLPP_02069	K02341
AENJPLPP_02072	K07056
AENJPLPP_02073	K02346
AENJPLPP_02074	K04068
AENJPLPP_02075	K21636
AENJPLPP_02076	K02003
AENJPLPP_02077	K02004
AENJPLPP_02078	K03367
AENJPLPP_02079	K03739
AENJPLPP_02080	K14188
AENJPLPP_02081	K03740
AENJPLPP_02082	K03740
AENJPLPP_02086	K03800
AENJPLPP_02088	K13280
AENJPLPP_02089	K00588
AENJPLPP_02091	K08987
AENJPLPP_02092	K03321
AENJPLPP_02093	K21929
AENJPLPP_02094	K02888
AENJPLPP_02095	K07584
AENJPLPP_02096	K02899
AENJPLPP_02098	K02769
AENJPLPP_02098	K02793
AENJPLPP_02098	K02794
AENJPLPP_02099	K02769
AENJPLPP_02099	K02793
AENJPLPP_02099	K02794
AENJPLPP_02100	K02746
AENJPLPP_02100	K02795
AENJPLPP_02101	K02796
AENJPLPP_02104	K01262
AENJPLPP_02105	K10947
AENJPLPP_02106	K03625
AENJPLPP_02107	K01491
AENJPLPP_02108	K03601
AENJPLPP_02109	K03602
AENJPLPP_02110	K13789
AENJPLPP_02111	K06442
AENJPLPP_02112	K03402
AENJPLPP_02113	K03631
AENJPLPP_02115	K03284
AENJPLPP_02117	K03925
AENJPLPP_02118	K03438
AENJPLPP_02120	K08724
AENJPLPP_02120	K12552
AENJPLPP_02120	K12556
AENJPLPP_02121	K01000
AENJPLPP_02122	K01925
AENJPLPP_02123	K02563
AENJPLPP_02124	K03589
AENJPLPP_02125	K03590
AENJPLPP_02126	K03531
AENJPLPP_02127	K06997
AENJPLPP_02128	K09772
AENJPLPP_02130	K04074
AENJPLPP_02131	K01870
AENJPLPP_02132	K00036
AENJPLPP_02133	K03709
AENJPLPP_02135	K06206
AENJPLPP_02139	K02760
AENJPLPP_02140	K02759
AENJPLPP_02141	K02761
AENJPLPP_02155	K07741
AENJPLPP_02179	K07451
AENJPLPP_02184	K01358
AENJPLPP_02202	K01447
AENJPLPP_02203	K01447
AENJPLPP_02205	K07483
AENJPLPP_02207	K07483
AENJPLPP_02218	K00763
AENJPLPP_02219	K01916
AENJPLPP_02221	K01209
AENJPLPP_02222	K02027
AENJPLPP_02223	K02025
AENJPLPP_02224	K02026
AENJPLPP_02226	K01209
AENJPLPP_02228	K02103
AENJPLPP_02230	K00853
AENJPLPP_02231	K03077
AENJPLPP_02232	K01804
AENJPLPP_02233	K00058
AENJPLPP_02237	K07404
AENJPLPP_02238	K02781
AENJPLPP_02240	K01118
AENJPLPP_02243	K06147
AENJPLPP_02244	K06147
AENJPLPP_02245	K06147
AENJPLPP_02246	K07104
AENJPLPP_02247	K21469
AENJPLPP_02248	K01809
AENJPLPP_02249	K02799
AENJPLPP_02249	K02800
AENJPLPP_02250	K02799
AENJPLPP_02250	K02800
AENJPLPP_02251	K03483
AENJPLPP_02252	K02798
AENJPLPP_02253	K01992
AENJPLPP_02254	K01990
AENJPLPP_02255	K02799
AENJPLPP_02255	K02800
AENJPLPP_02256	K02798
AENJPLPP_02257	K00009
AENJPLPP_02258	K07009
AENJPLPP_02259	K01928
AENJPLPP_02261	K09765
AENJPLPP_02264	K03100
AENJPLPP_02265	K03100
AENJPLPP_02269	K00857
AENJPLPP_02270	K02835
AENJPLPP_02271	K02493
AENJPLPP_02272	K07566
AENJPLPP_02274	K00600
AENJPLPP_02275	K01066
AENJPLPP_02276	K00761
AENJPLPP_02279	K07052
AENJPLPP_02283	K19055
AENJPLPP_02284	K02029
AENJPLPP_02284	K02030
AENJPLPP_02285	K02028
AENJPLPP_02286	K02030
AENJPLPP_02287	K01220
AENJPLPP_02287	K01223
AENJPLPP_02287	K05350
AENJPLPP_02288	K03466
AENJPLPP_02289	K06941
AENJPLPP_02290	K00005
AENJPLPP_02291	K18815
AENJPLPP_02292	K02035
AENJPLPP_02292	K15580
AENJPLPP_02294	K15581
AENJPLPP_02295	K15582
AENJPLPP_02296	K02031
AENJPLPP_02296	K15583
AENJPLPP_02297	K10823
AENJPLPP_02298	K07496
AENJPLPP_02301	K01874
AENJPLPP_02303	K03294
AENJPLPP_02304	K03424
AENJPLPP_02305	K05985
AENJPLPP_02306	K02528
AENJPLPP_02307	K16788
AENJPLPP_02308	K10112
AENJPLPP_02309	K01734
AENJPLPP_02311	K06147
AENJPLPP_02312	K06147
AENJPLPP_02312	K06148
AENJPLPP_02314	K19505
AENJPLPP_02315	K19506
AENJPLPP_02316	K19507
AENJPLPP_02317	K19508
AENJPLPP_02318	K19509
AENJPLPP_02319	K19504
AENJPLPP_02320	K19510
AENJPLPP_02321	K00057
AENJPLPP_02323	K00963
AENJPLPP_02327	K01305
AENJPLPP_02329	K02003
AENJPLPP_02330	K02004
AENJPLPP_02331	K12574
AENJPLPP_02332	K03976
AENJPLPP_02335	K06881
AENJPLPP_02336	K06193
AENJPLPP_02337	K06973
AENJPLPP_02343	K11991
AENJPLPP_02345	K01081
AENJPLPP_02347	K01101
AENJPLPP_02350	K21567
AENJPLPP_02351	K03767
AENJPLPP_02351	K03768
AENJPLPP_02352	K14155
AENJPLPP_02353	K07570
AENJPLPP_02357	K07483
AENJPLPP_02363	K01372
AENJPLPP_02365	K01071
AENJPLPP_02366	K01424
AENJPLPP_02369	K16785
AENJPLPP_02370	K06286
AENJPLPP_02371	K04487
AENJPLPP_02372	K03151
AENJPLPP_02373	K03151
AENJPLPP_02374	K01926
AENJPLPP_02375	K01873
AENJPLPP_02376	K11754
AENJPLPP_02378	K03630
AENJPLPP_02379	K03704
AENJPLPP_02380	K12574
AENJPLPP_02382	K18887
AENJPLPP_02383	K06147
AENJPLPP_02383	K18888
AENJPLPP_02386	K01358
AENJPLPP_02388	K01126
AENJPLPP_02389	K00791
AENJPLPP_02390	K03665
AENJPLPP_02397	K10190
AENJPLPP_02398	K18581
AENJPLPP_02400	K18581
AENJPLPP_02401	K06158
AENJPLPP_02402	K01926
AENJPLPP_02404	K07089
AENJPLPP_02405	K08986
AENJPLPP_02407	K01990
AENJPLPP_02408	K01992
AENJPLPP_02412	K15051
AENJPLPP_02414	K07447
AENJPLPP_02432	K06904
AENJPLPP_02436	K07090
AENJPLPP_02439	K00027
AENJPLPP_02439	K22212
AENJPLPP_02441	K00467
AENJPLPP_02441	K10530
AENJPLPP_02445	K13730
AENJPLPP_02448	K02004
AENJPLPP_02449	K02003
AENJPLPP_02451	K01448
AENJPLPP_02452	K03471
AENJPLPP_02453	K09888
AENJPLPP_02455	K07456
AENJPLPP_02456	K03671
AENJPLPP_02457	K03703
AENJPLPP_02458	K01990
AENJPLPP_02459	K01992
AENJPLPP_02460	K04041
AENJPLPP_02461	K07010
AENJPLPP_02463	K02123
AENJPLPP_02464	K02124
AENJPLPP_02465	K02121
AENJPLPP_02466	K02119
AENJPLPP_02467	K02122
AENJPLPP_02468	K02117
AENJPLPP_02469	K02118
AENJPLPP_02470	K02120
AENJPLPP_02471	K03498
AENJPLPP_02473	K01750
AENJPLPP_02475	K01759
AENJPLPP_02475	K15772
AENJPLPP_02476	K03574
AENJPLPP_02478	K06885
AENJPLPP_02479	K16869
AENJPLPP_02479	K18821
AENJPLPP_02481	K03048
AENJPLPP_02482	K03088
AENJPLPP_02484	K22278
AENJPLPP_02486	K03092
AENJPLPP_02487	K05311
AENJPLPP_02488	K00134
AENJPLPP_02489	K00927
AENJPLPP_02490	K01803
AENJPLPP_02491	K01689
AENJPLPP_02492	K07483
AENJPLPP_02493	K07497
AENJPLPP_02495	K01439
AENJPLPP_02496	K16923
AENJPLPP_02497	K01239
AENJPLPP_02498	K06889
AENJPLPP_02499	K06975
AENJPLPP_02500	K03075
AENJPLPP_02501	K03928
AENJPLPP_02502	K12573
AENJPLPP_02503	K03664
AENJPLPP_02504	K02108
AENJPLPP_02505	K02110
AENJPLPP_02506	K02109
AENJPLPP_02507	K02113
AENJPLPP_02508	K02111
AENJPLPP_02509	K02115
AENJPLPP_02510	K02112
AENJPLPP_02511	K02114
AENJPLPP_02513	K00790
AENJPLPP_02515	K08998
AENJPLPP_02522	K03710
AENJPLPP_02523	K01271
AENJPLPP_02525	K02760
AENJPLPP_02526	K02240
AENJPLPP_02527	K02242
AENJPLPP_02528	K05808
AENJPLPP_02529	K03070
AENJPLPP_02530	K02836
AENJPLPP_02531	K09812
AENJPLPP_02532	K09811
AENJPLPP_02533	K06131
AENJPLPP_02534	K02040
AENJPLPP_02535	K02037
AENJPLPP_02536	K02038
AENJPLPP_02537	K02036
AENJPLPP_02538	K02036
AENJPLPP_02539	K02039
AENJPLPP_02543	K03973
AENJPLPP_02544	K08972
AENJPLPP_02546	K06023
AENJPLPP_02547	K13292
AENJPLPP_02548	K00057
AENJPLPP_02549	K00963
AENJPLPP_02552	K01271
AENJPLPP_02553	K02529
AENJPLPP_02554	K03693
AENJPLPP_02554	K12551
AENJPLPP_02555	K01151
AENJPLPP_02558	K03322
AENJPLPP_02559	K09976
AENJPLPP_02560	K06148
AENJPLPP_02560	K18889
AENJPLPP_02561	K06147
AENJPLPP_02561	K18890
AENJPLPP_02562	K03488
AENJPLPP_02563	K02755
AENJPLPP_02563	K02756
AENJPLPP_02563	K02757
AENJPLPP_02565	K01222
AENJPLPP_02566	K01223
AENJPLPP_02567	K00384
AENJPLPP_02568	K01835
AENJPLPP_02569	K22043
AENJPLPP_02570	K09773
AENJPLPP_02571	K02076
AENJPLPP_02571	K03711
AENJPLPP_02572	K02970
AENJPLPP_02573	K09117
AENJPLPP_02574	K03311
AENJPLPP_02575	K06217
AENJPLPP_02576	K07037
AENJPLPP_02577	K07042
AENJPLPP_02578	K00887
AENJPLPP_02578	K00901
AENJPLPP_02579	K03595
AENJPLPP_02580	K03584
AENJPLPP_02581	K01878
AENJPLPP_02582	K01879
AENJPLPP_02587	K01104
AENJPLPP_02589	K01955
AENJPLPP_02590	K07025
AENJPLPP_02592	K13012
AENJPLPP_02594	K19422
AENJPLPP_02602	K08679
AENJPLPP_02603	K00012
AENJPLPP_02605	K00882
AENJPLPP_02606	K02769
AENJPLPP_02606	K02770
AENJPLPP_02607	K02768
AENJPLPP_02608	K01635
AENJPLPP_02609	K03217
AENJPLPP_02610	K01512
AENJPLPP_02611	K03437
AENJPLPP_02612	K06950
AENJPLPP_02616	K01286
AENJPLPP_02616	K07258
AENJPLPP_02621	K03704
AENJPLPP_02622	K03722
AENJPLPP_02624	K00812
AENJPLPP_02624	K22457
AENJPLPP_02625	K01893
AENJPLPP_02629	K01534
AENJPLPP_02633	K02171
AENJPLPP_02634	K07213
AENJPLPP_02635	K17686
AENJPLPP_02636	K01533
AENJPLPP_02641	K03924
AENJPLPP_02644	K18923
AENJPLPP_02645	K01447
AENJPLPP_02646	K01447
AENJPLPP_02647	K07497
AENJPLPP_02648	K07483
AENJPLPP_02649	K07493
AENJPLPP_02650	K07483
AENJPLPP_02651	K07497
AENJPLPP_02655	K01442
AENJPLPP_02661	K02040
AENJPLPP_02664	K12952
AENJPLPP_02665	K07636
AENJPLPP_02666	K07658
AENJPLPP_02668	K09787
AENJPLPP_02669	K03106
AENJPLPP_02670	K01246
AENJPLPP_02672	K19784
AENJPLPP_02673	K02959
AENJPLPP_02674	K06960
AENJPLPP_02676	K02860
AENJPLPP_02677	K00554
AENJPLPP_02678	K02884
AENJPLPP_02684	K03466
AENJPLPP_02686	K03466
AENJPLPP_02687	K00558
AENJPLPP_02689	K07467
AENJPLPP_02691	K00986
AENJPLPP_02693	K07053
AENJPLPP_02693	K18491
AENJPLPP_02703	K07495
AENJPLPP_02706	K07483
AENJPLPP_02708	K02529
AENJPLPP_02708	K03484
AENJPLPP_02712	K00847
AENJPLPP_02714	K02795
AENJPLPP_02715	K02795
AENJPLPP_02716	K02796
AENJPLPP_02717	K02794
AENJPLPP_02722	K07484
AENJPLPP_02733	K14194
AENJPLPP_02735	K07284
AENJPLPP_02739	K08196
AENJPLPP_02740	K21745
AENJPLPP_02744	K02026
AENJPLPP_02746	K07493
AENJPLPP_02747	K01652
AENJPLPP_02748	K01652
AENJPLPP_02749	K01575
AENJPLPP_02750	K08968
AENJPLPP_02753	K07493
AENJPLPP_02754	K07493
AENJPLPP_02766	K07284
AENJPLPP_02768	K07284
AENJPLPP_02776	K03205
AENJPLPP_02778	K03205
AENJPLPP_02798	K03169
AENJPLPP_02802	K03111
AENJPLPP_02803	K03111
AENJPLPP_02815	K07493
AENJPLPP_02816	K03491
AENJPLPP_02817	K02773
AENJPLPP_02818	K02775
AENJPLPP_02819	K02774
AENJPLPP_02821	K01783
AENJPLPP_02822	K08094
AENJPLPP_02823	K07484
AENJPLPP_02824	K07484
AENJPLPP_02828	K07498
AENJPLPP_02829	K07498
AENJPLPP_02830	K00847
AENJPLPP_02832	K02808
AENJPLPP_02832	K02809
AENJPLPP_02832	K02810
AENJPLPP_02833	K01193
AENJPLPP_02834	K02529
AENJPLPP_02834	K03484
AENJPLPP_02835	K07497
AENJPLPP_02836	K07483
AENJPLPP_02837	K07491
AENJPLPP_02842	K01788
AENJPLPP_02843	K02777
AENJPLPP_02843	K02778
AENJPLPP_02843	K02779
AENJPLPP_02843	K02790
AENJPLPP_02843	K02791
AENJPLPP_02845	K02777
AENJPLPP_02850	K02761
AENJPLPP_02852	K01635
AENJPLPP_02853	K02082
AENJPLPP_02854	K03710
AENJPLPP_02857	K07491
AENJPLPP_02858	K07496
AENJPLPP_02859	K02808
AENJPLPP_02859	K02809
AENJPLPP_02859	K02810
AENJPLPP_02860	K01193
AENJPLPP_02861	K07720
AENJPLPP_02862	K07407
AENJPLPP_02863	K02777
AENJPLPP_02865	K07483
AENJPLPP_02866	K07483
AENJPLPP_02867	K07497
AENJPLPP_02871	K07491
AENJPLPP_02872	K07496
AENJPLPP_02874	K07493
AENJPLPP_02875	K10819
AENJPLPP_02878	K01951
AENJPLPP_02880	K01197
AENJPLPP_02881	K01190
AENJPLPP_02882	K12373
AENJPLPP_02884	K17318
AENJPLPP_02885	K17320
AENJPLPP_02886	K17319
AENJPLPP_02887	K07718
AENJPLPP_02890	K02010
AENJPLPP_02890	K02052
AENJPLPP_02891	K02053
AENJPLPP_02892	K02054
AENJPLPP_02894	K02055
AENJPLPP_02895	K04486
AENJPLPP_02896	K03768
AENJPLPP_02897	K03768
AENJPLPP_02905	K02004
AENJPLPP_02906	K02003
AENJPLPP_02907	K02004
AENJPLPP_02908	K07483
AENJPLPP_02912	K07483
AENJPLPP_02914	K07493
AENJPLPP_02917	K07496
AENJPLPP_02918	K07491
AENJPLPP_02921	K04095
AENJPLPP_02926	K01154
AENJPLPP_02930	K07493
AENJPLPP_02932	K07493
AENJPLPP_02937	K02755
AENJPLPP_02937	K02756
AENJPLPP_02937	K02757
AENJPLPP_02939	K03488
AENJPLPP_02940	K01223
AENJPLPP_02941	K02755
AENJPLPP_02941	K02756
AENJPLPP_02941	K02757
AENJPLPP_02942	K07498
AENJPLPP_02943	K19509
AENJPLPP_02944	K19508
AENJPLPP_02945	K19508
AENJPLPP_02946	K02794
AENJPLPP_02948	K19510
AENJPLPP_02949	K03710
AENJPLPP_02950	K07498
AENJPLPP_02951	K07498
AENJPLPP_02953	K19505
AENJPLPP_02954	K19505
AENJPLPP_02955	K19505
AENJPLPP_02957	K02796
AENJPLPP_02958	K02796
AENJPLPP_02959	K02795
AENJPLPP_02960	K02794
AENJPLPP_02961	K02793
AENJPLPP_02962	K06897
AENJPLPP_02963	K07496
AENJPLPP_02964	K07491
AENJPLPP_02967	K07498
AENJPLPP_02968	K07498
AENJPLPP_02973	K07284
AENJPLPP_02976	K07284
AENJPLPP_02990	K02346
AENJPLPP_02990	K03502
AENJPLPP_02992	K07171
AENJPLPP_02993	K07172
AENJPLPP_03002	K03111
AENJPLPP_03006	K03169
AENJPLPP_03042	K07498
AENJPLPP_03043	K18349
AENJPLPP_03044	K18350
AENJPLPP_03045	K03778
AENJPLPP_03045	K18347
AENJPLPP_03046	K15739
AENJPLPP_03046	K18856
AENJPLPP_03047	K08641
AENJPLPP_03048	K07498
AENJPLPP_03055	K03169
AENJPLPP_03056	K07498
AENJPLPP_03062	K02342
AENJPLPP_03066	K07498
AENJPLPP_03069	K07498
AENJPLPP_03070	K07467
